"","subject","condition","audio","step","sAnswer","rt","stepRepetition","trial","phase"
"223","AAM04","AAM","asee_shstep15",15,0,745,2,0,"Early"
"224","AAM04","AAM","asee_shstep17",17,0,872,2,5,"Early"
"225","AAM04","AAM","asee_shstep05",5,1,761,3,5,"Early"
"226","AAM04","AAM","asee_shstep07",7,1,852,3,0,"Early"
"227","AAM04","AAM","asee_shstep09",9,1,909,3,2,"Early"
"228","AAM04","AAM","asee_shstep11",11,1,981,3,1,"Early"
"229","AAM04","AAM","asee_shstep13",13,0,502,3,3,"Early"
"230","AAM04","AAM","asee_shstep15",15,0,695,3,4,"Early"
"231","AAM04","AAM","asee_shstep17",17,0,561,3,6,"Early"
"232","AAM04","AAM","asee_shstep05",5,0,343,4,0,"Early"
"233","AAM04","AAM","asee_shstep07",7,1,836,4,6,"Early"
"234","AAM04","AAM","asee_shstep09",9,1,853,4,2,"Early"
"235","AAM04","AAM","asee_shstep11",11,1,895,4,5,"Early"
"236","AAM04","AAM","asee_shstep13",13,0,1030,4,4,"Early"
"237","AAM04","AAM","asee_shstep15",15,0,809,4,1,"Early"
"238","AAM04","AAM","asee_shstep17",17,0,845,4,3,"Early"
"239","AAM04","AAM","asee_shstep05",5,1,720,5,2,"Early"
"240","AAM04","AAM","asee_shstep07",7,1,713,5,4,"Early"
"241","AAM04","AAM","asee_shstep09",9,1,882,5,3,"Early"
"242","AAM04","AAM","asee_shstep11",11,0,964,5,1,"Early"
"243","AAM04","AAM","asee_shstep13",13,0,916,5,0,"Early"
"244","AAM04","AAM","asee_shstep15",15,0,736,5,5,"Early"
"245","AAM04","AAM","asee_shstep17",17,0,885,5,6,"Early"
"246","AAM04","AAM","asee_shstep05",5,1,746,6,2,"Late"
"247","AAM04","AAM","asee_shstep07",7,1,785,6,0,"Late"
"248","AAM04","AAM","asee_shstep09",9,1,845,6,4,"Late"
"249","AAM04","AAM","asee_shstep11",11,0,892,6,5,"Late"
"250","AAM04","AAM","asee_shstep13",13,0,936,6,6,"Late"
