,subject,id,condition,word,step,trial,pass,phase,SAnswer,rt,sex,hearing,lang,equip
97,Subject002,1010subject452,aam,asee_shstep15.wav,15,50,7,Late,0,706,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
98,Subject002,1010subject452,aam,asee_shstep15.wav,15,53,8,Late,0,1663,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
99,Subject002,1010subject452,aam,asee_shstep15.wav,15,57,9,Late,0,689,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
100,Subject002,1010subject452,aam,asee_shstep15.wav,15,66,10,Late,0,632,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
101,Subject002,1010subject452,aam,asee_shstep17.wav,17,1,1,Early,0,761,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
102,Subject002,1010subject452,aam,asee_shstep17.wav,17,11,2,Early,0,703,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
103,Subject002,1010subject452,aam,asee_shstep17.wav,17,14,3,Early,0,682,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
104,Subject002,1010subject452,aam,asee_shstep17.wav,17,23,4,Early,0,667,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
105,Subject002,1010subject452,aam,asee_shstep17.wav,17,24,5,Early,0,617,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
106,Subject002,1010subject452,aam,asee_shstep17.wav,17,28,6,Late,0,713,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
107,Subject002,1010subject452,aam,asee_shstep17.wav,17,40,7,Late,0,715,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
108,Subject002,1010subject452,aam,asee_shstep17.wav,17,51,8,Late,0,601,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
109,Subject002,1010subject452,aam,asee_shstep17.wav,17,54,9,Late,0,832,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
110,Subject002,1010subject452,aam,asee_shstep9.wav,9,65,10,Late,1,561,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
111,Subject002,1010subject452,aam,asee_shstep11.wav,11,7,1,Early,0,1697,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
112,Subject002,1010subject452,aam,asee_shstep11.wav,11,25,2,Early,0,504,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
113,Subject002,1010subject452,aam,asee_shstep11.wav,11,41,3,Early,1,760,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
114,Subject002,1010subject452,aam,asee_shstep11.wav,11,47,4,Early,1,1003,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
115,Subject002,1010subject452,aam,asee_shstep11.wav,11,52,5,Early,1,830,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
116,Subject002,1010subject452,aam,asee_shstep11.wav,11,55,6,Late,1,763,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
117,Subject002,1010subject452,aam,asee_shstep11.wav,11,59,7,Late,1,778,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
118,Subject002,1010subject452,aam,asee_shstep11.wav,11,67,8,Late,0,559,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
119,Subject002,1010subject452,aam,asee_shstep11.wav,11,68,9,Late,0,480,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
120,Subject002,1010subject452,aam,asee_shstep11.wav,11,69,10,Late,1,546,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
121,Subject002,1010subject452,aam,asee_shstep13.wav,13,2,1,Early,0,703,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
122,Subject002,1010subject452,aam,asee_shstep5.wav,5,9,1,Early,1,776,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
123,Subject002,1010subject452,aam,asee_shstep5.wav,5,10,2,Early,1,758,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
124,Subject002,1010subject452,aam,asee_shstep5.wav,5,26,3,Early,1,698,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
125,Subject002,1010subject452,aam,asee_shstep5.wav,5,27,4,Early,1,697,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
126,Subject002,1010subject452,aam,asee_shstep5.wav,5,34,5,Early,1,1089,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
127,Subject002,1010subject452,aam,asee_shstep5.wav,5,35,6,Late,1,713,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
128,Subject002,1010subject452,aam,asee_shstep5.wav,5,37,7,Late,1,616,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
129,Subject002,1010subject452,aam,asee_shstep5.wav,5,48,8,Late,1,894,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
130,Subject002,1010subject452,aam,asee_shstep5.wav,5,49,9,Late,1,818,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
131,Subject002,1010subject452,aam,asee_shstep5.wav,5,61,10,Late,1,641,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
132,Subject002,1010subject452,aam,asee_shstep7.wav,7,0,1,Early,1,1487,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
133,Subject002,1010subject452,aam,asee_shstep7.wav,7,6,2,Early,1,688,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
134,Subject002,1010subject452,aam,asee_shstep7.wav,7,12,3,Early,1,762,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
135,Subject002,1010subject452,aam,asee_shstep7.wav,7,19,4,Early,1,786,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
136,Subject002,1010subject452,aam,asee_shstep7.wav,7,21,5,Early,1,738,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
137,Subject002,1010subject452,aam,asee_shstep7.wav,7,22,6,Late,1,674,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
138,Subject002,1010subject452,aam,asee_shstep7.wav,7,36,7,Late,1,823,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
139,Subject002,1010subject452,aam,asee_shstep7.wav,7,45,8,Late,1,906,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
140,Subject002,1010subject452,aam,asee_shstep17.wav,17,58,10,Late,0,730,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
141,Subject003,1010subject552,bam,asee_shstep17.wav,17,65,10,Late,0,962,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
142,Subject003,1010subject552,bam,asee_shstep9.wav,9,69,10,Late,0,822,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
143,Subject003,1010subject552,bam,asee_shstep11.wav,11,15,1,Early,1,943,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
144,Subject003,1010subject552,bam,asee_shstep11.wav,11,22,3,Early,1,1071,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
145,Subject003,1010subject552,bam,asee_shstep11.wav,11,32,4,Early,0,943,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
146,Subject003,1010subject552,bam,asee_shstep11.wav,11,33,5,Early,0,807,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
147,Subject003,1010subject552,bam,asee_shstep11.wav,11,19,2,Early,0,905,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
148,Subject003,1010subject552,bam,asee_shstep11.wav,11,36,7,Late,0,776,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
149,Subject003,1010subject552,bam,asee_shstep11.wav,11,40,8,Late,0,691,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
150,Subject003,1010subject552,bam,asee_shstep11.wav,11,58,9,Late,0,948,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
151,Subject003,1010subject552,bam,asee_shstep11.wav,11,35,6,Late,0,925,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
152,Subject003,1010subject552,bam,asee_shstep5.wav,5,1,1,Early,1,1689,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
153,Subject003,1010subject552,bam,asee_shstep5.wav,5,9,2,Early,1,1252,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
154,Subject003,1010subject552,bam,asee_shstep5.wav,5,16,3,Early,1,893,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
155,Subject003,1010subject552,bam,asee_shstep5.wav,5,20,4,Early,1,1017,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
156,Subject003,1010subject552,bam,asee_shstep5.wav,5,26,5,Early,1,655,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
157,Subject003,1010subject552,bam,asee_shstep5.wav,5,27,6,Late,1,810,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
158,Subject003,1010subject552,bam,asee_shstep5.wav,5,46,7,Late,1,851,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
159,Subject003,1010subject552,bam,asee_shstep5.wav,5,47,8,Late,1,808,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
160,Subject003,1010subject552,bam,asee_shstep5.wav,5,50,9,Late,1,850,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
161,Subject003,1010subject552,bam,asee_shstep5.wav,5,57,10,Late,1,1102,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
162,Subject003,1010subject552,bam,asee_shstep7.wav,7,0,1,Early,1,2915,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
163,Subject003,1010subject552,bam,asee_shstep7.wav,7,5,2,Early,0,1323,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
164,Subject003,1010subject552,bam,asee_shstep7.wav,7,7,3,Early,1,1602,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
165,Subject003,1010subject552,bam,asee_shstep7.wav,7,12,4,Early,1,1184,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
166,Subject003,1010subject552,bam,asee_shstep7.wav,7,21,5,Early,1,896,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
167,Subject003,1010subject552,bam,asee_shstep7.wav,7,24,6,Late,0,784,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
168,Subject003,1010subject552,bam,asee_shstep7.wav,7,28,7,Late,1,854,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
169,Subject003,1010subject552,bam,asee_shstep7.wav,7,56,8,Late,1,827,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
170,Subject003,1010subject552,bam,asee_shstep7.wav,7,59,9,Late,1,943,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
171,Subject003,1010subject552,bam,asee_shstep7.wav,7,61,10,Late,1,1168,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
172,Subject003,1010subject552,bam,asee_shstep9.wav,9,14,1,Early,0,1248,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
173,Subject003,1010subject552,bam,asee_shstep9.wav,9,23,2,Early,0,918,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
174,Subject003,1010subject552,bam,asee_shstep9.wav,9,25,3,Early,1,636,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
175,Subject003,1010subject552,bam,asee_shstep9.wav,9,37,4,Early,1,1164,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
176,Subject003,1010subject552,bam,asee_shstep9.wav,9,43,5,Early,0,859,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
177,Subject003,1010subject552,bam,asee_shstep9.wav,9,45,6,Late,0,803,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
178,Subject003,1010subject552,bam,asee_shstep9.wav,9,48,7,Late,1,1332,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
179,Subject003,1010subject552,bam,asee_shstep9.wav,9,54,8,Late,1,1026,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
180,Subject003,1010subject552,bam,asee_shstep9.wav,9,62,9,Late,1,946,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
181,Subject003,1010subject552,bam,asee_shstep13.wav,13,6,3,Early,0,1204,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
182,Subject003,1010subject552,bam,asee_shstep13.wav,13,11,4,Early,0,1107,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
183,Subject003,1010subject552,bam,asee_shstep13.wav,13,29,5,Early,0,1672,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
184,Subject003,1010subject552,bam,asee_shstep13.wav,13,30,6,Late,0,1032,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
185,Subject003,1010subject552,bam,asee_shstep13.wav,13,31,7,Late,0,815,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
186,Subject003,1010subject552,bam,asee_shstep13.wav,13,42,8,Late,0,893,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
187,Subject003,1010subject552,bam,asee_shstep13.wav,13,49,9,Late,0,922,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
188,Subject003,1010subject552,bam,asee_shstep13.wav,13,55,10,Late,0,973,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
189,Subject003,1010subject552,bam,asee_shstep15.wav,15,8,1,Early,0,1393,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
190,Subject003,1010subject552,bam,asee_shstep15.wav,15,13,2,Early,0,878,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
191,Subject003,1010subject552,bam,asee_shstep11.wav,11,67,10,Late,1,976,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
192,Subject003,1010subject552,bam,asee_shstep13.wav,13,2,1,Early,0,1529,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
193,Subject003,1010subject552,bam,asee_shstep13.wav,13,4,2,Early,0,1136,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
194,Subject003,1010subject552,bam,asee_shstep15.wav,15,60,6,Late,0,983,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
195,Subject003,1010subject552,bam,asee_shstep15.wav,15,63,7,Late,0,1007,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
196,Subject003,1010subject552,bam,asee_shstep15.wav,15,64,8,Late,1,923,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
197,Subject003,1010subject552,bam,asee_shstep15.wav,15,66,9,Late,1,1198,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
198,Subject003,1010subject552,bam,asee_shstep15.wav,15,68,10,Late,0,1054,Female,yes,english,In-ear headphones/earbuds (cost more than $100)
