subject,condition,word,wordType,grammarType,trial,nounAnswer,nounAnswer2,rt
AAM04,aam,submarinestep10,critical,noun,14,1,noun,1173
AAM04,aam,sufferstep8,critical,notnoun,21,0,notnoun,1236
AAM04,aam,superpowerstep12,critical,noun,20,0,notnoun,1794
AAM04,aam,surrenderstep8,critical,notnoun,53,0,notnoun,1115
AAM04,aam,tobacco,filler,noun,64,0,notnoun,1482
AAM04,aam,totally,filler,notnoun,15,0,notnoun,1295
AAM04,aam,tutorial,filler,noun,41,0,notnoun,1182
AAM04,aam,typical,filler,notnoun,42,0,notnoun,970
AAM04,aam,umbrella,filler,noun,10,0,notnoun,1557
AAM04,aam,unique,filler,notnoun,74,0,notnoun,1143
AAM04,aam,vibrant,filler,notnoun,16,0,notnoun,1711
AAM04,aam,warrantee,filler,noun,65,0,notnoun,1423
AAM04,aam,weekly,filler,notnoun,86,0,notnoun,1272
AAM04,aam,wrinkle,filler,noun,24,0,notnoun,1692
AAM04,aam,yell,filler,notnoun,91,0,notnoun,1251
AAM04,aam,yoghurt,filler,noun,95,1,noun,1773
AAM05,aam,acerbicstep12,critical,notnoun,2,0,notnoun,1038
AAM05,aam,alone,filler,notnoun,37,0,notnoun,873
AAM05,aam,america,filler,noun,60,1,noun,943
AAM05,aam,anemia,filler,noun,82,0,notnoun,741
AAM05,aam,animal,filler,noun,77,1,noun,748
AAM05,aam,annoying,filler,notnoun,39,1,noun,681
AAM05,aam,appear,filler,notnoun,46,0,notnoun,958
AAM05,aam,around,filler,notnoun,5,1,noun,990
AAM05,aam,avenue,filler,noun,45,1,noun,764
AAM05,aam,bakery,filler,noun,16,1,noun,1144
AAM05,aam,ballerina,filler,noun,80,1,noun,815
AAM05,aam,basementstep11,critical,noun,49,1,noun,827
AAM05,aam,beauty,filler,noun,97,0,notnoun,1308
AAM05,aam,become,filler,notnoun,33,0,notnoun,1244
AAM05,aam,brain,filler,noun,0,1,noun,822
AAM05,aam,camera,filler,noun,18,1,noun,1081
AAM05,aam,casserolestep12,critical,noun,54,1,noun,1065
AAM05,aam,ciderstep9,critical,noun,69,1,noun,951
AAM05,aam,degree,filler,noun,19,1,noun,1254
AAM05,aam,depend,filler,notnoun,24,0,notnoun,1308
AAM05,aam,develop,filler,notnoun,65,0,notnoun,1351
AAM05,aam,document,filler,noun,90,0,notnoun,1267
AAM05,aam,dragon,filler,noun,89,1,noun,619
AAM05,aam,embody,filler,notnoun,25,0,notnoun,899
AAM05,aam,energy,filler,noun,72,1,noun,1336
AAM05,aam,engine,filler,noun,42,1,noun,1098
AAM05,aam,enroll,filler,notnoun,75,0,notnoun,778
AAM05,aam,eternal,filler,notnoun,68,0,notnoun,956
AAM05,aam,evolve,filler,notnoun,21,0,notnoun,916
AAM05,aam,failure,filler,noun,81,1,noun,700
AAM05,aam,family,filler,noun,11,1,noun,885
AAM05,aam,felony,filler,noun,86,0,notnoun,845
AAM05,aam,freeze,filler,notnoun,9,0,notnoun,1073
AAM05,aam,fumble,filler,notnoun,12,0,notnoun,926
AAM05,aam,garden,filler,noun,98,1,noun,1011
AAM05,aam,gasolinestep11,critical,noun,91,1,noun,1250
AAM05,aam,global,filler,notnoun,62,0,notnoun,1336
AAM05,aam,grapple,filler,notnoun,71,0,notnoun,780
AAM05,aam,guilty,filler,notnoun,13,0,notnoun,816
AAM05,aam,gullible,filler,notnoun,66,0,notnoun,746
AAM05,aam,hamburger,filler,noun,78,1,noun,793
AAM05,aam,harmful,filler,notnoun,99,0,notnoun,2212
AAM05,aam,hidden,filler,notnoun,14,0,notnoun,711
AAM05,aam,honeymoon,filler,noun,95,1,noun,877
AAM05,aam,human,filler,noun,85,1,noun,750
AAM05,aam,ignore,filler,notnoun,47,0,notnoun,869
AAM05,aam,image,filler,noun,34,1,noun,1029
AAM05,aam,immoral,filler,notnoun,67,0,notnoun,749
AAM05,aam,immune,filler,notnoun,26,1,noun,813
AAM05,aam,ironic,filler,notnoun,40,0,notnoun,940
AAM05,aam,kidnap,filler,notnoun,52,0,notnoun,1052
AAM05,aam,lawyer,filler,noun,7,1,noun,929
AAM05,aam,lunatic,filler,notnoun,63,1,noun,1020
AAM05,aam,manually,filler,notnoun,94,0,notnoun,1051
AAM05,aam,marina,filler,noun,29,1,noun,860
AAM05,aam,military,filler,noun,83,1,noun,1300
AAM05,aam,mineral,filler,noun,41,1,noun,760
AAM05,aam,momentary,filler,notnoun,8,0,notnoun,1003
AAM05,aam,occupy,filler,notnoun,76,0,notnoun,866
AAM05,aam,omelet,filler,noun,87,1,noun,820
AAM05,aam,opaque,filler,notnoun,35,0,notnoun,786
AAM05,aam,orbital,filler,notnoun,59,1,noun,1101
AAM05,aam,overcome,filler,notnoun,3,0,notnoun,1178
AAM05,aam,parable,filler,noun,30,1,noun,961
AAM05,aam,parrot,filler,noun,17,1,noun,797
AAM05,aam,pineapple,filler,noun,84,1,noun,918
AAM05,aam,recovery,filler,noun,22,0,notnoun,1332
AAM05,aam,regular,filler,notnoun,57,1,noun,1016
AAM05,aam,relate,filler,notnoun,56,0,notnoun,1143
AAM05,aam,remedial,filler,notnoun,55,0,notnoun,728
AAM05,aam,remind,filler,notnoun,1,0,notnoun,822
