subject,condition,audio,step,sAnswer,rt,stepRepetition,trial
AAM04,AAM,asee_shstep11,11,1,976,10,6
AAM04,AAM,asee_shstep13,13,1,1340,10,4
AAM04,AAM,asee_shstep15,15,0,576,10,0
AAM04,AAM,asee_shstep17,17,0,630,10,2
AAM05,AAM,asee_shstep05,5,1,1408,1,0
AAM05,AAM,asee_shstep07,7,0,1140,1,4
AAM05,AAM,asee_shstep09,9,0,942,1,1
AAM05,AAM,asee_shstep11,11,0,652,1,6
AAM05,AAM,asee_shstep13,13,0,755,1,5
AAM05,AAM,asee_shstep15,15,0,772,1,3
AAM05,AAM,asee_shstep17,17,0,938,1,2
AAM05,AAM,asee_shstep05,5,1,686,2,2
AAM05,AAM,asee_shstep07,7,1,617,2,3
AAM05,AAM,asee_shstep09,9,1,792,2,6
AAM05,AAM,asee_shstep11,11,1,1064,2,0
AAM05,AAM,asee_shstep13,13,0,515,2,1
AAM05,AAM,asee_shstep15,15,0,390,2,4
AAM05,AAM,asee_shstep17,17,0,630,2,5
AAM05,AAM,asee_shstep05,5,1,566,3,6
AAM05,AAM,asee_shstep07,7,1,522,3,2
AAM05,AAM,asee_shstep09,9,0,518,3,4
AAM05,AAM,asee_shstep11,11,0,932,3,5
AAM05,AAM,asee_shstep13,13,0,867,3,3
AAM05,AAM,asee_shstep15,15,0,643,3,0
AAM05,AAM,asee_shstep17,17,0,377,3,1
AAM05,AAM,asee_shstep05,5,1,527,4,0
AAM05,AAM,asee_shstep07,7,1,626,4,1
AAM05,AAM,asee_shstep09,9,0,937,4,5
AAM05,AAM,asee_shstep11,11,0,755,4,2
AAM05,AAM,asee_shstep13,13,0,621,4,6
AAM05,AAM,asee_shstep15,15,0,566,4,3
AAM05,AAM,asee_shstep17,17,0,893,4,4
AAM05,AAM,asee_shstep05,5,1,549,5,1
AAM05,AAM,asee_shstep07,7,1,609,5,2
AAM05,AAM,asee_shstep09,9,1,710,5,5
AAM05,AAM,asee_shstep11,11,0,459,5,3
AAM05,AAM,asee_shstep13,13,0,515,5,6
AAM05,AAM,asee_shstep15,15,0,637,5,4
AAM05,AAM,asee_shstep17,17,0,642,5,0
AAM05,AAM,asee_shstep05,5,1,745,6,5
AAM05,AAM,asee_shstep07,7,1,760,6,6
AAM05,AAM,asee_shstep09,9,0,347,6,4
AAM05,AAM,asee_shstep11,11,1,728,6,2
AAM05,AAM,asee_shstep13,13,0,357,6,0
AAM05,AAM,asee_shstep15,15,0,684,6,3
AAM05,AAM,asee_shstep17,17,0,507,6,1
AAM05,AAM,asee_shstep05,5,1,532,7,6
AAM05,AAM,asee_shstep07,7,1,945,7,4
AAM05,AAM,asee_shstep09,9,1,749,7,1
AAM05,AAM,asee_shstep11,11,0,488,7,0
AAM05,AAM,asee_shstep13,13,0,583,7,5
AAM05,AAM,asee_shstep15,15,0,571,7,3
AAM05,AAM,asee_shstep17,17,0,563,7,2
AAM05,AAM,asee_shstep05,5,1,516,8,0
AAM05,AAM,asee_shstep07,7,1,667,8,3
AAM05,AAM,asee_shstep09,9,1,922,8,6
AAM05,AAM,asee_shstep11,11,0,769,8,5
AAM05,AAM,asee_shstep13,13,0,584,8,1
AAM05,AAM,asee_shstep15,15,0,466,8,2
AAM05,AAM,asee_shstep17,17,0,545,8,4
AAM05,AAM,asee_shstep05,5,1,519,9,5
AAM05,AAM,asee_shstep07,7,1,767,9,3
AAM05,AAM,asee_shstep09,9,1,593,9,6
AAM05,AAM,asee_shstep11,11,0,526,9,1
AAM05,AAM,asee_shstep13,13,0,619,9,0
AAM05,AAM,asee_shstep15,15,0,559,9,2
AAM05,AAM,asee_shstep17,17,0,652,9,4
AAM05,AAM,asee_shstep05,5,1,667,10,0
AAM05,AAM,asee_shstep07,7,1,812,10,4
AAM05,AAM,asee_shstep09,9,1,1472,10,2
AAM05,AAM,asee_shstep11,11,1,790,10,1
AAM05,AAM,asee_shstep13,13,0,1002,10,3
AAM05,AAM,asee_shstep15,15,0,639,10,5
