subject,condition,word,wordType,grammarType,trial,nounAnswer,nounAnswer2,rt
Subject004,aam,secludedstep10,critical,notnoun,83,0,notnoun,1818
Subject004,aam,weekly,filler,notnoun,84,0,notnoun,2388
Subject004,aam,pineapple,filler,noun,85,1,noun,1378
Subject004,aam,ignore,filler,notnoun,86,0,notnoun,1860
Subject004,aam,opaque,filler,notnoun,87,0,notnoun,2067
Subject004,aam,remedial,filler,notnoun,88,0,notnoun,1797
Subject004,aam,become,filler,notnoun,89,0,notnoun,1706
Subject004,aam,saltystep14,critical,notnoun,9,0,notnoun,2738
Subject004,aam,global,filler,notnoun,90,0,notnoun,2268
Subject004,aam,similarstep10,critical,notnoun,91,0,notnoun,1687
Subject004,aam,hamburger,filler,noun,92,1,noun,1479
Subject004,aam,garden,filler,noun,93,1,noun,1388
Subject004,aam,depend,filler,notnoun,94,0,notnoun,3591
Subject004,aam,lawyer,filler,noun,95,1,noun,2070
Subject004,aam,solidstep12,critical,notnoun,96,1,noun,2432
Subject004,aam,appear,filler,notnoun,97,0,notnoun,1711
Subject004,aam,engine,filler,noun,99,1,noun,1473
Subject004,aam,umbrella,filler,noun,0,1,noun,2224
Subject005,bam,vibrant,filler,notnoun,10,0,notnoun,1281
Subject005,bam,omelet,filler,noun,11,1,noun,1371
Subject005,bam,remind,filler,notnoun,12,0,notnoun,1860
Subject005,bam,tennesseestep11,critical,noun,13,1,noun,980
Subject005,bam,immune,filler,notnoun,14,0,notnoun,1611
Subject005,bam,become,filler,notnoun,15,0,notnoun,1301
Subject005,bam,dragon,filler,noun,16,1,noun,1460
Subject005,bam,family,filler,noun,17,1,noun,1352
Subject005,bam,embarassingstep9,critical,notnoun,18,0,notnoun,1230
Subject005,bam,tobacco,filler,noun,19,1,noun,1250
Subject005,bam,failure,filler,noun,2,1,noun,1849
Subject005,bam,arkansasstep10,critical,noun,20,1,noun,1120
Subject005,bam,military,filler,noun,21,1,noun,1211
Subject005,bam,momentary,filler,notnoun,22,0,notnoun,1131
Subject005,bam,occupy,filler,notnoun,23,1,noun,1102
Subject005,bam,annoying,filler,notnoun,24,0,notnoun,1470
Subject005,bam,embody,filler,notnoun,25,0,notnoun,1830
Subject005,bam,royal,filler,notnoun,26,1,noun,1220
Subject005,bam,bakery,filler,noun,27,1,noun,1210
Subject005,bam,around,filler,notnoun,28,0,notnoun,1280
Subject005,bam,immoral,filler,notnoun,29,0,notnoun,1820
Subject005,bam,degree,filler,noun,3,1,noun,1289
Subject005,bam,human,filler,noun,30,1,noun,991
Subject005,bam,eraserstep8,critical,noun,31,1,noun,1281
Subject005,bam,parable,filler,noun,32,1,noun,1130
Subject005,bam,animal,filler,noun,33,1,noun,1281
Subject005,bam,coliseumstep9,critical,noun,34,1,noun,1340
Subject005,bam,pregnancystep8,critical,noun,35,1,noun,1112
Subject005,bam,orbital,filler,notnoun,36,0,notnoun,1161
Subject005,bam,unique,filler,notnoun,37,0,notnoun,1062
Subject005,bam,hidden,filler,notnoun,38,0,notnoun,1041
Subject005,bam,remedial,filler,notnoun,39,0,notnoun,3191
Subject005,bam,weekly,filler,notnoun,4,0,notnoun,1760
Subject005,bam,beauty,filler,noun,40,0,notnoun,2986
Subject005,bam,camera,filler,noun,41,1,noun,1003
Subject005,bam,develop,filler,notnoun,42,0,notnoun,2080
Subject005,bam,regular,filler,notnoun,43,0,notnoun,1380
