subject,condition,word,step,sAnswer,rt,trial,pass,phase
AAM06,aam,asee_shstep11,11,0,1123,2,4,Early
AAM06,aam,asee_shstep13,13,0,817,0,4,Early
AAM06,aam,asee_shstep15,15,0,1228,4,4,Early
AAM06,aam,asee_shstep17,17,0,744,1,4,Early
AAM06,aam,asee_shstep05,5,1,914,2,5,Early
AAM06,aam,asee_shstep07,7,1,849,5,5,Early
AAM06,aam,asee_shstep09,9,1,980,0,5,Early
AAM06,aam,asee_shstep11,11,0,1026,3,5,Early
AAM06,aam,asee_shstep13,13,0,1004,6,5,Early
AAM06,aam,asee_shstep15,15,0,888,4,5,Early
AAM06,aam,asee_shstep17,17,0,902,1,5,Early
AAM06,aam,asee_shstep05,5,1,825,0,6,Late
AAM06,aam,asee_shstep07,7,1,780,6,6,Late
AAM06,aam,asee_shstep09,9,1,915,1,6,Late
AAM06,aam,asee_shstep11,11,0,664,3,6,Late
AAM06,aam,asee_shstep13,13,0,909,5,6,Late
AAM06,aam,asee_shstep15,15,0,671,4,6,Late
AAM06,aam,asee_shstep17,17,0,764,2,6,Late
AAM06,aam,asee_shstep05,5,1,691,6,7,Late
AAM06,aam,asee_shstep07,7,1,799,1,7,Late
AAM06,aam,asee_shstep09,9,1,692,5,7,Late
AAM06,aam,asee_shstep11,11,0,1198,3,7,Late
AAM06,aam,asee_shstep13,13,1,877,0,7,Late
AAM06,aam,asee_shstep15,15,0,859,4,7,Late
AAM06,aam,asee_shstep17,17,0,702,2,7,Late
AAM06,aam,asee_shstep05,5,1,693,6,8,Late
AAM06,aam,asee_shstep07,7,1,654,1,8,Late
AAM06,aam,asee_shstep09,9,0,393,2,8,Late
AAM06,aam,asee_shstep11,11,1,856,4,8,Late
AAM06,aam,asee_shstep13,13,1,583,5,8,Late
AAM06,aam,asee_shstep15,15,0,580,0,8,Late
AAM06,aam,asee_shstep17,17,0,783,3,8,Late
AAM06,aam,asee_shstep05,5,1,765,0,9,Late
AAM06,aam,asee_shstep07,7,1,685,5,9,Late
