subject,id,condition,word,trial,nounAnswer,rt,grammarType,wordType,sex,hearing,lang,equip
Subject002,1010subject452,aam,harmful,14,0,1319,notnoun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,omelet,15,1,1096,noun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,embody,16,0,1457,notnoun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,degree,17,1,1393,noun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,sabrestep10,18,1,1473,noun,critical,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,yell,19,0,1682,notnoun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,opaque,2,0,2233,notnoun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,become,20,0,1681,notnoun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,similarstep10,21,0,1840,notnoun,critical,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,solidstep12,22,0,1371,notnoun,critical,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,totally,23,0,1254,notnoun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,america,24,1,1386,noun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,marina,25,1,1282,noun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,grammatical,26,0,987,notnoun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,unique,27,0,917,notnoun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,tobacco,28,1,1417,noun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,immoral,29,0,1122,notnoun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,avenue,3,0,3392,noun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,hidden,30,0,1121,notnoun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,momentary,31,0,1174,notnoun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,basementstep11,32,1,1328,noun,critical,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,ignore,33,0,1176,notnoun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,beauty,34,0,1008,noun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,sufferstep8,35,0,966,notnoun,critical,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,annoying,36,0,993,notnoun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,evolve,37,0,1319,notnoun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,vibrant,38,0,1146,notnoun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,manually,39,0,1611,notnoun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,brain,4,1,1192,noun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,ciderstep9,40,1,1336,noun,critical,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,dragon,41,1,1054,noun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,kidnap,42,0,1634,notnoun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,superpowerstep12,43,0,1129,noun,critical,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,enroll,44,0,946,notnoun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,secondstep11,45,0,1139,noun,critical,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,freeze,46,0,1325,notnoun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
